------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
------------------------------------------------------------------
InversionCount/1              31.6 ns         31.6 ns     18823614
InversionCount/2              44.0 ns         44.0 ns     17151934
InversionCount/3              67.7 ns         67.7 ns     11700255
InversionCount/4              85.1 ns         85.1 ns      8599802
InversionCount/5               122 ns          122 ns      5843155
InversionCount/6               146 ns          146 ns      5723865
InversionCount/7               147 ns          147 ns      4185272
InversionCount/8               157 ns          157 ns      5440050
InversionCount/9               158 ns          158 ns      4250104
InversionCount/10              187 ns          187 ns      3737734
InversionCount/11              216 ns          216 ns      3186620
InversionCount/12              227 ns          227 ns      2969131
InversionCount/13              265 ns          265 ns      2585653
InversionCount/14              314 ns          314 ns      2307899
InversionCount/15              403 ns          403 ns      2159203
InversionCount/16              398 ns          398 ns      1697434
InversionCount/17              380 ns          380 ns      1703200
InversionCount/18              415 ns          415 ns      1634839
InversionCount/19              453 ns          453 ns      1516963
InversionCount/20              506 ns          506 ns      1436638
InversionCount/21              551 ns          551 ns      1248578
InversionCount/22              605 ns          605 ns      1230614
InversionCount/23              587 ns          587 ns      1204078
InversionCount/24              662 ns          662 ns      1048743
InversionCount/25              680 ns          680 ns       966404
InversionCount/26              706 ns          706 ns       913776
InversionCount/27              771 ns          771 ns       911542
InversionCount/28              736 ns          736 ns       841979
InversionCount/29              878 ns          878 ns       835446
InversionCount/30              939 ns          939 ns       810812
InversionCount/31              964 ns          964 ns       711045
InversionCount/32             1034 ns         1034 ns       835568
InversionCount/33             1057 ns         1057 ns       662107
InversionCount/34             1016 ns         1016 ns       560797
InversionCount/35             1165 ns         1165 ns       628422
InversionCount/36             1166 ns         1166 ns       676298
InversionCount/37             1224 ns         1224 ns       698874
InversionCount/38             1377 ns         1377 ns       520405
InversionCount/39             1258 ns         1258 ns       525174
InversionCount/40             1424 ns         1424 ns       518361
InversionCount/41             1434 ns         1434 ns       594709
InversionCount/42             1501 ns         1501 ns       484392
InversionCount/43             1664 ns         1664 ns       443137
InversionCount/44             1456 ns         1456 ns       430303
InversionCount/45             1595 ns         1595 ns       392837
InversionCount/46             1646 ns         1646 ns       395070
InversionCount/47             1764 ns         1764 ns       404796
InversionCount/48             1806 ns         1806 ns       413113
InversionCount/49             1926 ns         1926 ns       391920
InversionCount/50             1942 ns         1942 ns       358478
InversionCount/51             1827 ns         1827 ns       338034
InversionCount/52             1567 ns         1567 ns       333900
InversionCount/53             2105 ns         2105 ns       335257
InversionCount/54             2219 ns         2219 ns       301764
InversionCount/55             2248 ns         2248 ns       299589
InversionCount/56             2235 ns         2235 ns       310392
InversionCount/57             2522 ns         2522 ns       314089
InversionCount/58             2454 ns         2454 ns       280426
InversionCount/59             2517 ns         2517 ns       272533
InversionCount/60             2547 ns         2547 ns       277734
InversionCount/61             2419 ns         2419 ns       263664
InversionCount/62             2558 ns         2558 ns       236936
InversionCount/63             2613 ns         2613 ns       259130
InversionCount/64             2078 ns         2078 ns       325443
InversionCount/65             2870 ns         2870 ns       322901
InversionCount/66             3131 ns         3131 ns       228183
InversionCount/67             2269 ns         2269 ns       247416
InversionCount/68             2960 ns         2960 ns       231819
InversionCount/69             3360 ns         3360 ns       210637
InversionCount/70             3298 ns         3298 ns       218388
InversionCount/71             3432 ns         3432 ns       209235
InversionCount/72             3373 ns         3373 ns       220169
InversionCount/73             2497 ns         2497 ns       209557
InversionCount/74             3400 ns         3400 ns       217303
InversionCount/75             3177 ns         3177 ns       282030
InversionCount/76             3493 ns         3493 ns       206174
InversionCount/77             3424 ns         3424 ns       211473
InversionCount/78             3251 ns         3251 ns       193091
InversionCount/79             3541 ns         3541 ns       198335
InversionCount/80             3496 ns         3496 ns       198633
InversionCount/81             3821 ns         3821 ns       183638
InversionCount/82             3905 ns         3905 ns       188668
InversionCount/83             4033 ns         4033 ns       183466
InversionCount/84             3814 ns         3814 ns       170406
InversionCount/85             3022 ns         3022 ns       171294
InversionCount/86             3357 ns         3357 ns       172170
InversionCount/87             4112 ns         4112 ns       175890
InversionCount/88             4360 ns         4360 ns       174595
InversionCount/89             4473 ns         4473 ns       155213
