------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
------------------------------------------------------------------
InversionCount/1              17.6 ns         17.6 ns     41437941
InversionCount/2              48.7 ns         48.7 ns     13615844
InversionCount/3              63.7 ns         63.7 ns      8489845
InversionCount/4              73.0 ns         73.0 ns      9188641
InversionCount/5               100 ns          100 ns      7965683
InversionCount/6               132 ns          132 ns      6535117
InversionCount/7               158 ns          158 ns      5194791
InversionCount/8               192 ns          192 ns      3980624
InversionCount/9               222 ns          222 ns      3394152
InversionCount/10              237 ns          237 ns      2968574
InversionCount/11              289 ns          289 ns      2430317
InversionCount/12              313 ns          312 ns      2158503
InversionCount/13              321 ns          321 ns      2160135
InversionCount/14              377 ns          377 ns      1818260
InversionCount/15              421 ns          421 ns      1554134
InversionCount/16              470 ns          470 ns      1342074
InversionCount/17              475 ns          475 ns      1515546
InversionCount/18              540 ns          540 ns      1260943
InversionCount/19              565 ns          565 ns      1189757
InversionCount/20              641 ns          641 ns      1065975
InversionCount/21              652 ns          652 ns      1039631
InversionCount/22              713 ns          713 ns       954334
InversionCount/23              767 ns          767 ns      1008612
InversionCount/24              716 ns          716 ns       907538
InversionCount/25              869 ns          869 ns       790885
InversionCount/26              939 ns          939 ns       807076
InversionCount/27              982 ns          982 ns       760407
InversionCount/28              993 ns          993 ns       644184
InversionCount/29             1130 ns         1130 ns       705108
InversionCount/30             1088 ns         1088 ns       614354
InversionCount/31             1168 ns         1168 ns       599935
InversionCount/32             1166 ns         1166 ns       603839
InversionCount/33             1302 ns         1302 ns       520630
InversionCount/34             1344 ns         1344 ns       556567
InversionCount/35             1112 ns         1112 ns       510733
InversionCount/36             1517 ns         1517 ns       487614
InversionCount/37             1480 ns         1480 ns       467620
InversionCount/38             1458 ns         1458 ns       466070
InversionCount/39             1570 ns         1570 ns       553522
InversionCount/40             1671 ns         1671 ns       432087
InversionCount/41             1720 ns         1720 ns       433012
InversionCount/42             1501 ns         1501 ns       403434
InversionCount/43             1830 ns         1830 ns       492477
InversionCount/44             1504 ns         1504 ns       359520
InversionCount/45             1888 ns         1888 ns       359195
InversionCount/46             2031 ns         2031 ns       353238
InversionCount/47             2082 ns         2082 ns       364918
InversionCount/48             2058 ns         2058 ns       320612
InversionCount/49             2265 ns         2265 ns       343395
InversionCount/50             2168 ns         2168 ns       329197
InversionCount/51             2181 ns         2181 ns       326478
InversionCount/52             2404 ns         2404 ns       299821
InversionCount/53             2427 ns         2427 ns       274958
InversionCount/54             2342 ns         2342 ns       287317
InversionCount/55             2790 ns         2789 ns       289060
InversionCount/56             2632 ns         2632 ns       346738
InversionCount/57             2697 ns         2697 ns       254177
InversionCount/58             2687 ns         2687 ns       269052
InversionCount/59             2705 ns         2705 ns       266270
InversionCount/60             2786 ns         2786 ns       257426
InversionCount/61             3030 ns         3029 ns       234820
InversionCount/62             2250 ns         2250 ns       310023
InversionCount/63             2956 ns         2956 ns       310349
InversionCount/64             3108 ns         3108 ns       221861
InversionCount/65             3239 ns         3239 ns       233303
InversionCount/66             2375 ns         2375 ns       225489
InversionCount/67             3367 ns         3367 ns       217435
InversionCount/68             3339 ns         3338 ns       211580
InversionCount/69             3435 ns         3435 ns       217338
InversionCount/70             3382 ns         3382 ns       197383
InversionCount/71             3502 ns         3502 ns       256940
InversionCount/72             3541 ns         3541 ns       196062
InversionCount/73             3373 ns         3373 ns       184716
InversionCount/74             3735 ns         3735 ns       263059
InversionCount/75             3456 ns         3456 ns       181281
InversionCount/76             4064 ns         4064 ns       243944
InversionCount/77             4012 ns         4011 ns       178584
InversionCount/78             4235 ns         4235 ns       173532
InversionCount/79             4292 ns         4292 ns       186593
InversionCount/80             3004 ns         3004 ns       170139
InversionCount/81             3828 ns         3828 ns       165729
InversionCount/82             4319 ns         4318 ns       157868
InversionCount/83             4397 ns         4397 ns       177013
InversionCount/84             4380 ns         4380 ns       160255
InversionCount/85             4654 ns         4654 ns       159648
InversionCount/86             4540 ns         4539 ns       158047
InversionCount/87             4592 ns         4591 ns       201980
InversionCount/88             4283 ns         4283 ns       192998
InversionCount/89             5020 ns         5020 ns       100000
InversionCount/90             4732 ns         4732 ns       146908
InversionCount/91             3713 ns         3713 ns       140553
InversionCount/92             4926 ns         4926 ns       147899
InversionCount/93             5051 ns         5051 ns       148577
InversionCount/94             5046 ns         5045 ns       142534
InversionCount/95             5143 ns         5143 ns       100000
InversionCount/96             5308 ns         5307 ns       100000
InversionCount/97             5029 ns         5028 ns       100000
InversionCount/98             4241 ns         4241 ns       134592
InversionCount/99             5254 ns         5254 ns       126574
InversionCount/100            5511 ns         5511 ns       128463
InversionCount/101            5318 ns         5317 ns       121220
InversionCount/102            5278 ns         5278 ns       126118
InversionCount/103            5681 ns         5681 ns       131985
InversionCount/104            5644 ns         5644 ns       114919
InversionCount/105            5516 ns         5516 ns       115790
InversionCount/106            5882 ns         5882 ns       116130
InversionCount/107            6015 ns         6014 ns       128720
InversionCount/108            4814 ns         4814 ns       112274
InversionCount/109            6246 ns         6245 ns       123715
InversionCount/110            4333 ns         4333 ns       119873
InversionCount/111            6154 ns         6153 ns       122687
InversionCount/112            6415 ns         6414 ns       124810
InversionCount/113            5144 ns         5143 ns       116363
InversionCount/114            6279 ns         6279 ns       134519
InversionCount/115            5264 ns         5264 ns       152819
InversionCount/116            6614 ns         6614 ns       103406
InversionCount/117            5279 ns         5278 ns       112909
InversionCount/118            4693 ns         4693 ns       108763
InversionCount/119            6757 ns         6756 ns       100000
InversionCount/120            6741 ns         6741 ns       131593
InversionCount/121            6944 ns         6943 ns       104812
InversionCount/122            7104 ns         7104 ns       106820
InversionCount/123            5050 ns         5049 ns        99528
InversionCount/124            7542 ns         7542 ns        99646
InversionCount/125            7241 ns         7241 ns       112652
InversionCount/126            7437 ns         7437 ns        97779
InversionCount/127            7307 ns         7307 ns        89443
InversionCount/128            7808 ns         7807 ns       134681
InversionCount/129            7678 ns         7677 ns       134319
InversionCount/130            7574 ns         7574 ns        95851
InversionCount/131            7727 ns         7727 ns       131083
InversionCount/132            7910 ns         7910 ns        84776
InversionCount/133            8162 ns         8162 ns        96462
InversionCount/134            8148 ns         8148 ns        91855
InversionCount/135            8104 ns         8104 ns       119439
InversionCount/136            7199 ns         7198 ns        81378
InversionCount/137            7983 ns         7982 ns       125496
InversionCount/138            8025 ns         8024 ns        89018
InversionCount/139            8236 ns         8236 ns        84587
InversionCount/140            8538 ns         8537 ns        83020
InversionCount/141            8437 ns         8437 ns        80779
InversionCount/142            8637 ns         8636 ns        82825
InversionCount/143            8425 ns         8425 ns        83485
InversionCount/144            9026 ns         9025 ns        87952
InversionCount/145            8651 ns         8651 ns        82026
InversionCount/146            8337 ns         8337 ns        87443
InversionCount/147            8963 ns         8963 ns       112345
InversionCount/148            8671 ns         8671 ns        74344
InversionCount/149            9154 ns         9154 ns        78724
InversionCount/150            9104 ns         9103 ns        79735
InversionCount/151            9351 ns         9350 ns        79486
InversionCount/152            9786 ns         9786 ns        69464
InversionCount/153            9577 ns         9576 ns        78698
InversionCount/154            9254 ns         9253 ns        72964
InversionCount/155            9578 ns         9578 ns        71829
InversionCount/156            9906 ns         9905 ns        68142
InversionCount/157            9416 ns         9416 ns        69321
InversionCount/158            9985 ns         9985 ns       104411
InversionCount/159            9964 ns         9963 ns        68235
InversionCount/160            9876 ns         9875 ns       101630
InversionCount/161           10235 ns        10235 ns        67880
InversionCount/162            8909 ns         8909 ns       102699
InversionCount/163           10630 ns        10630 ns        71691
InversionCount/164           10168 ns        10167 ns        65679
InversionCount/165           10299 ns        10297 ns        69858
InversionCount/166            7774 ns         7774 ns        68553
InversionCount/167           10780 ns        10779 ns        65790
InversionCount/168           10725 ns        10724 ns        71872
InversionCount/169           10466 ns        10466 ns        66336
InversionCount/170            7039 ns         7039 ns        71100
InversionCount/171            9492 ns         9492 ns        80942
InversionCount/172           11036 ns        11035 ns        64071
InversionCount/173            7186 ns         7185 ns        94643
InversionCount/174           10782 ns        10781 ns        68803
InversionCount/175           11146 ns        11146 ns        65616
InversionCount/176           11239 ns        11238 ns        60424
InversionCount/177           10735 ns        10734 ns        62001
InversionCount/178           11141 ns        11140 ns        66518
InversionCount/179           10525 ns        10524 ns        92078
InversionCount/180           11738 ns        11737 ns        67275
InversionCount/181           11576 ns        11576 ns        76589
InversionCount/182           11846 ns        11845 ns        60014
InversionCount/183           11685 ns        11685 ns        59681
InversionCount/184           12140 ns        12139 ns        67347
InversionCount/185           11862 ns        11861 ns        55899
InversionCount/186           11563 ns        11562 ns        53933
InversionCount/187           11258 ns        11258 ns        58882
InversionCount/188           11999 ns        11999 ns        64104
InversionCount/189           12183 ns        12183 ns        56918
InversionCount/190           12105 ns        12105 ns        57959
InversionCount/191           12221 ns        12220 ns        59088
InversionCount/192           12267 ns        12266 ns        54981
InversionCount/193           12927 ns        12926 ns        58076
InversionCount/194           12263 ns        12262 ns        59501
InversionCount/195           12519 ns        12519 ns        58594
InversionCount/196           12253 ns        12252 ns        56654
InversionCount/197           12984 ns        12983 ns        53542
InversionCount/198           12622 ns        12621 ns        57217
InversionCount/199           12751 ns        12750 ns        56575
InversionCount/200           12884 ns        12883 ns        56209
InversionCount/201           13510 ns        13510 ns        51886
InversionCount/202           13760 ns        13759 ns        66169
InversionCount/203           13226 ns        13226 ns        55122
