------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
------------------------------------------------------------------
InversionCount/1              24.7 ns         24.7 ns     42114232
InversionCount/2              27.1 ns         27.1 ns     25248323
InversionCount/3              29.9 ns         29.9 ns     22515278
InversionCount/4              23.0 ns         23.0 ns     29548584
InversionCount/5              25.4 ns         25.4 ns     21650493
InversionCount/6              26.6 ns         26.6 ns     26273072
InversionCount/7              28.7 ns         28.7 ns     24367273
InversionCount/8              34.1 ns         34.1 ns     20054221
InversionCount/9              36.3 ns         36.3 ns     18932078
InversionCount/10             38.4 ns         38.4 ns     18091891
InversionCount/11             42.0 ns         42.0 ns     17418116
InversionCount/12             49.1 ns         49.1 ns     15747340
InversionCount/13             46.2 ns         46.2 ns     15267306
InversionCount/14             51.0 ns         51.0 ns     13500181
InversionCount/15             51.3 ns         51.3 ns     13566687
InversionCount/16             71.5 ns         71.5 ns     10164769
InversionCount/17             70.9 ns         70.9 ns     10109802
InversionCount/18             74.8 ns         74.8 ns      9076491
InversionCount/19             92.4 ns         92.4 ns      7428958
InversionCount/20             74.7 ns         74.7 ns      9524969
InversionCount/21             77.4 ns         77.4 ns      8592151
InversionCount/22             81.7 ns         81.7 ns      8205325
InversionCount/23             85.0 ns         85.0 ns      7932641
InversionCount/24              110 ns          110 ns      6345586
InversionCount/25              110 ns          110 ns      6955161
InversionCount/26              103 ns          103 ns      6731822
InversionCount/27              112 ns          112 ns      6746565
InversionCount/28              120 ns          120 ns      5934046
InversionCount/29              127 ns          127 ns      5237780
InversionCount/30              132 ns          132 ns      5352920
InversionCount/31              142 ns          142 ns      5063628
InversionCount/32              130 ns          130 ns      5209770
InversionCount/33              180 ns          180 ns      4196355
InversionCount/34              173 ns          173 ns      3898569
InversionCount/35              176 ns          176 ns      4074880
InversionCount/36              186 ns          186 ns      3773595
InversionCount/37              194 ns          194 ns      3903982
InversionCount/38              183 ns          183 ns      3730979
InversionCount/39              189 ns          189 ns      3647283
InversionCount/40              216 ns          216 ns      3305543
InversionCount/41              193 ns          193 ns      3600797
InversionCount/42              211 ns          211 ns      3313777
InversionCount/43              212 ns          212 ns      3178314
InversionCount/44              216 ns          216 ns      2869329
InversionCount/45              222 ns          222 ns      2997065
InversionCount/46              252 ns          252 ns      2876734
InversionCount/47              235 ns          235 ns      2820706
InversionCount/48              274 ns          274 ns      2632168
InversionCount/49              293 ns          293 ns      2424505
InversionCount/50              277 ns          277 ns      2489387
InversionCount/51              290 ns          290 ns      2457589
InversionCount/52              335 ns          335 ns      2333301
InversionCount/53              295 ns          295 ns      2317210
InversionCount/54              299 ns          299 ns      2286621
InversionCount/55              305 ns          305 ns      2340099
InversionCount/56              316 ns          316 ns      2195051
InversionCount/57              328 ns          328 ns      2161430
InversionCount/58              337 ns          337 ns      2099100
InversionCount/59              349 ns          349 ns      2152698
InversionCount/60              346 ns          346 ns      1921193
InversionCount/61              331 ns          331 ns      2014841
InversionCount/62              350 ns          350 ns      1965851
InversionCount/63              374 ns          374 ns      1821706
InversionCount/64              440 ns          440 ns      1420697
InversionCount/65              421 ns          421 ns      1579275
InversionCount/66              415 ns          415 ns      1649362
InversionCount/67              500 ns          500 ns      1471110
InversionCount/68              295 ns          295 ns      2394865
InversionCount/69              505 ns          505 ns      1000000
InversionCount/70              425 ns          425 ns      1521247
InversionCount/71              508 ns          508 ns      1000000
InversionCount/72              446 ns          446 ns      1561848
InversionCount/73              481 ns          481 ns      1543114
InversionCount/74              311 ns          311 ns      2261145
InversionCount/75              503 ns          503 ns      1000000
InversionCount/76              566 ns          566 ns      1000000
InversionCount/77              328 ns          328 ns      2164440
InversionCount/78              560 ns          560 ns      1286094
InversionCount/79              493 ns          493 ns      1479529
InversionCount/80              601 ns          601 ns      1079434
InversionCount/81              524 ns          524 ns      1396631
InversionCount/82              511 ns          511 ns      1000000
InversionCount/83              542 ns          542 ns      1314434
InversionCount/84              561 ns          561 ns      1210692
InversionCount/85              564 ns          564 ns      1261233
InversionCount/86              579 ns          579 ns      1237021
InversionCount/87              538 ns          538 ns      1263236
InversionCount/88              585 ns          585 ns      1115318
InversionCount/89              652 ns          652 ns      1074077
InversionCount/90              572 ns          572 ns      1319388
InversionCount/91              584 ns          584 ns      1243878
InversionCount/92              699 ns          699 ns      1195139
InversionCount/93              688 ns          688 ns      1134369
InversionCount/94              700 ns          700 ns      1285520
InversionCount/95              738 ns          738 ns      1084694
InversionCount/96              436 ns          436 ns      1622943
InversionCount/97              730 ns          730 ns       882394
InversionCount/98              441 ns          441 ns      1626537
InversionCount/99              741 ns          741 ns       907243
InversionCount/100             676 ns          676 ns      1087930
InversionCount/101             449 ns          449 ns      1498399
InversionCount/102             802 ns          802 ns       792819
InversionCount/103             733 ns          733 ns      1000021
InversionCount/104             448 ns          448 ns      1556068
InversionCount/105             666 ns          666 ns      1089401
InversionCount/106             706 ns          706 ns       953036
InversionCount/107             822 ns          822 ns       903599
InversionCount/108             490 ns          490 ns      1447243
InversionCount/109             795 ns          795 ns       884282
InversionCount/110             729 ns          729 ns       874862
InversionCount/111             807 ns          807 ns       838055
InversionCount/112             486 ns          486 ns      1439167
InversionCount/113             711 ns          711 ns      1034237
InversionCount/114             893 ns          893 ns       839245
InversionCount/115             509 ns          509 ns      1337550
InversionCount/116             863 ns          863 ns       860267
InversionCount/117             861 ns          861 ns       921844
InversionCount/118             921 ns          921 ns       750705
InversionCount/119             845 ns          845 ns       852294
InversionCount/120             916 ns          916 ns       799745
InversionCount/121             943 ns          943 ns       833405
InversionCount/122             780 ns          780 ns       982759
InversionCount/123             904 ns          904 ns       811534
InversionCount/124             990 ns          990 ns       843386
