------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
------------------------------------------------------------------
InversionCount/1              50.3 ns         50.3 ns     12895911
InversionCount/2              79.6 ns         79.6 ns     13462046
InversionCount/3              87.6 ns         87.6 ns      7163044
InversionCount/4              94.8 ns         94.8 ns      6544413
InversionCount/5               111 ns          111 ns      4927892
InversionCount/6               115 ns          115 ns      6374658
InversionCount/7               101 ns          101 ns      5486443
InversionCount/8               105 ns          105 ns      6947736
InversionCount/9               111 ns          111 ns      6305537
InversionCount/10              128 ns          128 ns      5370306
InversionCount/11              144 ns          144 ns      5320871
InversionCount/12              143 ns          143 ns      5192595
InversionCount/13              173 ns          173 ns      3909878
InversionCount/14              161 ns          161 ns      3756151
InversionCount/15              164 ns          164 ns      3364509
InversionCount/16              268 ns          268 ns      2805876
InversionCount/17              279 ns          279 ns      2692405
InversionCount/18              269 ns          269 ns      2809899
InversionCount/19              254 ns          254 ns      2380902
InversionCount/20              291 ns          291 ns      2730606
InversionCount/21              291 ns          291 ns      2487846
InversionCount/22              279 ns          279 ns      2442473
InversionCount/23              309 ns          309 ns      2288811
InversionCount/24              330 ns          330 ns      2189212
InversionCount/25              364 ns          364 ns      2196399
InversionCount/26              379 ns          379 ns      1997382
InversionCount/27              349 ns          349 ns      1961509
InversionCount/28              377 ns          377 ns      1762678
InversionCount/29              396 ns          396 ns      1911113
InversionCount/30              416 ns          416 ns      1513386
InversionCount/31              415 ns          415 ns      1758761
InversionCount/32              368 ns          368 ns      1583476
InversionCount/33              507 ns          507 ns      1000000
InversionCount/34              506 ns          506 ns      1386519
InversionCount/35              567 ns          567 ns      1000000
InversionCount/36              545 ns          545 ns      1000000
InversionCount/37              579 ns          579 ns      1633803
InversionCount/38              579 ns          579 ns      1384042
InversionCount/39              550 ns          550 ns      1577529
InversionCount/40              585 ns          585 ns      1083214
InversionCount/41              597 ns          597 ns      1143333
InversionCount/42              580 ns          580 ns      1093632
InversionCount/43              620 ns          620 ns      1212168
InversionCount/44              731 ns          731 ns      1000000
InversionCount/45              661 ns          661 ns      1114970
InversionCount/46              728 ns          728 ns       966648
InversionCount/47              702 ns          702 ns      1003914
InversionCount/48              806 ns          806 ns      1017448
InversionCount/49              837 ns          837 ns       914669
InversionCount/50              800 ns          800 ns       818733
InversionCount/51              860 ns          860 ns      1206883
InversionCount/52              925 ns          925 ns       757676
InversionCount/53              867 ns          867 ns       839891
InversionCount/54              810 ns          810 ns       906897
InversionCount/55              926 ns          926 ns       824357
InversionCount/56              638 ns          638 ns      1065378
InversionCount/57              968 ns          968 ns       752685
InversionCount/58              978 ns          978 ns       782362
InversionCount/59             1058 ns         1058 ns       807635
InversionCount/60             1011 ns         1011 ns       989735
InversionCount/61             1113 ns         1113 ns       701385
InversionCount/62             1115 ns         1115 ns       638029
InversionCount/63             1107 ns         1107 ns       685816
InversionCount/64             1141 ns         1141 ns       878963
InversionCount/65             1199 ns         1199 ns       834372
InversionCount/66             1044 ns         1044 ns       579787
InversionCount/67             1213 ns         1213 ns       611043
InversionCount/68             1306 ns         1306 ns       590255
InversionCount/69             1354 ns         1354 ns       785277
InversionCount/70             1224 ns         1224 ns       595097
InversionCount/71             1282 ns         1282 ns       484160
InversionCount/72              888 ns          888 ns       796289
InversionCount/73             1329 ns         1329 ns       513061
InversionCount/74             1411 ns         1411 ns       462596
InversionCount/75             1481 ns         1481 ns       455573
InversionCount/76             1531 ns         1531 ns       469357
InversionCount/77             1570 ns         1570 ns       496016
InversionCount/78             1446 ns         1446 ns       501551
InversionCount/79             1433 ns         1433 ns       435668
InversionCount/80             1550 ns         1550 ns       449142
InversionCount/81             1685 ns         1685 ns       410173
InversionCount/82             1594 ns         1594 ns       650271
InversionCount/83             1763 ns         1763 ns       667770
InversionCount/84             1067 ns         1067 ns       673676
InversionCount/85             1584 ns         1584 ns       482164
InversionCount/86             1843 ns         1843 ns       426788
InversionCount/87             1900 ns         1900 ns       424702
InversionCount/88             1676 ns         1676 ns       398652
InversionCount/89             1768 ns         1768 ns       623172
InversionCount/90             1907 ns         1907 ns       420021
InversionCount/91             1822 ns         1822 ns       390860
InversionCount/92             1963 ns         1963 ns       369755
InversionCount/93             1945 ns         1945 ns       356745
InversionCount/94             2015 ns         2015 ns       377351
InversionCount/95             1842 ns         1842 ns       565575
