------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
------------------------------------------------------------------
InversionCount/1              1.73 ns         1.73 ns    401976094
InversionCount/2              26.1 ns         26.1 ns     26844560
InversionCount/3              50.4 ns         50.4 ns     13735440
InversionCount/4              76.0 ns         76.0 ns      9144236
InversionCount/5             100.0 ns        100.0 ns      6936718
InversionCount/6               125 ns          125 ns      5560144
InversionCount/7               150 ns          150 ns      4640812
InversionCount/8               177 ns          177 ns      3953304
InversionCount/9               201 ns          201 ns      3485036
InversionCount/10              233 ns          233 ns      2997047
InversionCount/11              262 ns          262 ns      2686247
InversionCount/12              282 ns          282 ns      2473591
InversionCount/13              301 ns          301 ns      2320644
InversionCount/14              337 ns          337 ns      2065669
InversionCount/15              364 ns          364 ns      1916076
InversionCount/16              391 ns          391 ns      1790327
InversionCount/17              406 ns          406 ns      1727902
InversionCount/18              454 ns          454 ns      1546471
InversionCount/19              456 ns          456 ns      1537956
InversionCount/20              519 ns          519 ns      1342839
InversionCount/21              562 ns          562 ns      1243202
InversionCount/22              570 ns          570 ns      1233481
InversionCount/23              604 ns          604 ns      1147614
InversionCount/24              617 ns          617 ns      1125028
InversionCount/25              663 ns          663 ns      1054576
InversionCount/26              682 ns          682 ns      1026985
InversionCount/27              728 ns          728 ns       931452
InversionCount/28              730 ns          730 ns       956881
InversionCount/29              719 ns          719 ns       973063
InversionCount/30              787 ns          787 ns       889202
InversionCount/31              877 ns          877 ns       793393
InversionCount/32              882 ns          882 ns       814383
InversionCount/33              941 ns          941 ns       741500
InversionCount/34              962 ns          962 ns       701273
InversionCount/35              971 ns          971 ns       718010
InversionCount/36             1039 ns         1039 ns       666652
InversionCount/37             1153 ns         1153 ns       639154
InversionCount/38             1135 ns         1135 ns       626902
InversionCount/39             1119 ns         1119 ns       636150
InversionCount/40             1146 ns         1146 ns       609661
InversionCount/41             1197 ns         1197 ns       589412
InversionCount/42             1096 ns         1096 ns       640128
InversionCount/43             1289 ns         1289 ns       541945
InversionCount/44             1338 ns         1338 ns       520596
InversionCount/45             1334 ns         1334 ns       515714
InversionCount/46             1324 ns         1324 ns       533891
InversionCount/47             1379 ns         1379 ns       512290
InversionCount/48             1349 ns         1349 ns       524218
InversionCount/49             1493 ns         1493 ns       477595
InversionCount/50             1289 ns         1289 ns       540357
InversionCount/51             1550 ns         1550 ns       453613
InversionCount/52             1560 ns         1560 ns       455364
InversionCount/53             1669 ns         1669 ns       428813
InversionCount/54             1678 ns         1678 ns       409078
InversionCount/55             1704 ns         1704 ns       411143
InversionCount/56             1677 ns         1677 ns       414181
InversionCount/57             1722 ns         1722 ns       411547
InversionCount/58             1759 ns         1759 ns       393348
InversionCount/59             1540 ns         1540 ns       452815
InversionCount/60             1853 ns         1853 ns       376162
InversionCount/61             1916 ns         1916 ns       356632
InversionCount/62             1640 ns         1640 ns       429819
InversionCount/63             1954 ns         1954 ns       361756
InversionCount/64             1909 ns         1909 ns       360918
InversionCount/65             2030 ns         2030 ns       340721
InversionCount/66             1919 ns         1919 ns       362880
InversionCount/67             1775 ns         1775 ns       392717
InversionCount/68             2139 ns         2139 ns       333950
InversionCount/69             2221 ns         2221 ns       313694
InversionCount/70             2188 ns         2188 ns       324737
InversionCount/71             2243 ns         2243 ns       305961
InversionCount/72             2316 ns         2316 ns       301604
InversionCount/73             2360 ns         2360 ns       298822
InversionCount/74             2398 ns         2398 ns       295388
InversionCount/75             2415 ns         2415 ns       287065
InversionCount/76             2419 ns         2419 ns       275095
InversionCount/77             2390 ns         2390 ns       283731
InversionCount/78             2361 ns         2361 ns       299303
InversionCount/79             2538 ns         2538 ns       279855
InversionCount/80             2191 ns         2191 ns       319838
InversionCount/81             2646 ns         2646 ns       268451
InversionCount/82             2692 ns         2692 ns       259728
InversionCount/83             2737 ns         2736 ns       259188
InversionCount/84             2892 ns         2892 ns       227807
InversionCount/85             2628 ns         2628 ns       268865
InversionCount/86             2787 ns         2787 ns       249330
InversionCount/87             2754 ns         2754 ns       253517
InversionCount/88             2951 ns         2951 ns       232398
InversionCount/89             3005 ns         3005 ns       236670
InversionCount/90             3004 ns         3004 ns       233807
InversionCount/91             3071 ns         3071 ns       225511
InversionCount/92             3015 ns         3015 ns       228691
InversionCount/93             3104 ns         3104 ns       220312
InversionCount/94             3059 ns         3059 ns       228592
InversionCount/95             2934 ns         2934 ns       238732
InversionCount/96             3004 ns         3004 ns       223854
InversionCount/97             3055 ns         3055 ns       229418
InversionCount/98             3243 ns         3243 ns       214034
InversionCount/99             3296 ns         3296 ns       210640
InversionCount/100            3356 ns         3356 ns       213081
InversionCount/101            2815 ns         2815 ns       248969
InversionCount/102            3438 ns         3438 ns       201933
InversionCount/103            3227 ns         3227 ns       217696
InversionCount/104            2861 ns         2861 ns       244793
InversionCount/105            3501 ns         3501 ns       203979
InversionCount/106            3473 ns         3473 ns       202109
InversionCount/107            3579 ns         3579 ns       194643
InversionCount/108            3653 ns         3653 ns       192507
InversionCount/109            3627 ns         3627 ns       193861
InversionCount/110            3442 ns         3442 ns       204557
InversionCount/111            3647 ns         3647 ns       191701
InversionCount/112            3551 ns         3551 ns       194321
InversionCount/113            3788 ns         3788 ns       182937
InversionCount/114            3874 ns         3874 ns       179310
InversionCount/115            3674 ns         3674 ns       193136
InversionCount/116            3228 ns         3228 ns       216348
InversionCount/117            3835 ns         3835 ns       183742
InversionCount/118            3973 ns         3973 ns       177734
InversionCount/119            3757 ns         3757 ns       185082
InversionCount/120            4001 ns         4001 ns       176118
InversionCount/121            4062 ns         4062 ns       168050
InversionCount/122            3942 ns         3942 ns       176193
InversionCount/123            3474 ns         3474 ns       200551
InversionCount/124            4220 ns         4220 ns       165460
InversionCount/125            4235 ns         4235 ns       162767
InversionCount/126            3951 ns         3951 ns       177571
InversionCount/127            4250 ns         4250 ns       164881
InversionCount/128            4307 ns         4307 ns       164493
InversionCount/129            4366 ns         4366 ns       163728
InversionCount/130            4450 ns         4450 ns       156973
InversionCount/131            4507 ns         4507 ns       153864
InversionCount/132            4500 ns         4500 ns       155745
InversionCount/133            3838 ns         3838 ns       183253
InversionCount/134            4372 ns         4372 ns       163158
InversionCount/135            4547 ns         4547 ns       154891
InversionCount/136            4641 ns         4641 ns       150811
InversionCount/137            4576 ns         4576 ns       153096
InversionCount/138            4718 ns         4718 ns       148471
InversionCount/139            4839 ns         4839 ns       144746
InversionCount/140            4812 ns         4812 ns       146523
InversionCount/141            4907 ns         4907 ns       138365
InversionCount/142            4947 ns         4947 ns       141079
InversionCount/143            4871 ns         4871 ns       145423
InversionCount/144            5122 ns         5122 ns       100000
InversionCount/145            5058 ns         5058 ns       139792
InversionCount/146            5000 ns         5000 ns       141134
InversionCount/147            5091 ns         5091 ns       137502
InversionCount/148            4907 ns         4907 ns       137252
InversionCount/149            5207 ns         5207 ns       134282
InversionCount/150            5197 ns         5197 ns       138102
InversionCount/151            5157 ns         5157 ns       137684
InversionCount/152            5322 ns         5322 ns       134948
InversionCount/153            5409 ns         5409 ns       129042
InversionCount/154            5234 ns         5234 ns       133002
InversionCount/155            5361 ns         5361 ns       134925
InversionCount/156            4507 ns         4507 ns       155372
InversionCount/157            5457 ns         5457 ns       131944
InversionCount/158            5357 ns         5357 ns       132463
InversionCount/159            5483 ns         5483 ns       129221
InversionCount/160            5497 ns         5497 ns       125252
InversionCount/161            4724 ns         4724 ns       148093
InversionCount/162            4725 ns         4725 ns       148599
InversionCount/163            5670 ns         5670 ns       124188
InversionCount/164            5767 ns         5767 ns       113889
InversionCount/165            5856 ns         5856 ns       123284
InversionCount/166            5023 ns         5023 ns       135313
InversionCount/167            5939 ns         5939 ns       122264
InversionCount/168            6017 ns         6017 ns       116192
InversionCount/169            5937 ns         5937 ns       120580
InversionCount/170            4995 ns         4995 ns       138431
InversionCount/171            6001 ns         6001 ns       119049
InversionCount/172            6091 ns         6091 ns       116270
InversionCount/173            6126 ns         6126 ns       112928
InversionCount/174            6152 ns         6152 ns       115687
InversionCount/175            6183 ns         6183 ns       110385
InversionCount/176            6289 ns         6289 ns       115442
InversionCount/177            6231 ns         6231 ns       109250
InversionCount/178            6344 ns         6344 ns       117329
InversionCount/179            6449 ns         6449 ns       117512
InversionCount/180            6212 ns         6212 ns       113884
InversionCount/181            6505 ns         6505 ns       104623
InversionCount/182            5316 ns         5316 ns       129567
InversionCount/183            6525 ns         6525 ns       114739
InversionCount/184            6578 ns         6578 ns       106366
InversionCount/185            6670 ns         6670 ns       102794
InversionCount/186            6399 ns         6399 ns       108510
InversionCount/187            6460 ns         6460 ns       109159
InversionCount/188            6726 ns         6726 ns       103277
InversionCount/189            6672 ns         6672 ns       103581
InversionCount/190            6638 ns         6639 ns       106181
InversionCount/191            6759 ns         6759 ns       106333
InversionCount/192            6788 ns         6788 ns       102664
InversionCount/193            6034 ns         6034 ns       117467
InversionCount/194            6832 ns         6832 ns       106298
InversionCount/195            6749 ns         6749 ns       105432
InversionCount/196            6846 ns         6846 ns       103385
InversionCount/197            6123 ns         6123 ns       111204
InversionCount/198            6970 ns         6970 ns       101511
InversionCount/199            7134 ns         7134 ns        98464
InversionCount/200            7171 ns         7171 ns        98686
InversionCount/201            7136 ns         7136 ns        97843
InversionCount/202            6880 ns         6880 ns       104280
InversionCount/203            6913 ns         6913 ns       101410
InversionCount/204            7255 ns         7255 ns        99390
InversionCount/205            6959 ns         6959 ns       102405
InversionCount/206            7207 ns         7207 ns        98738
InversionCount/207            7346 ns         7346 ns        98478
InversionCount/208            7336 ns         7336 ns        97543
InversionCount/209            6439 ns         6439 ns       109393
InversionCount/210            7383 ns         7383 ns        95629
InversionCount/211            7542 ns         7542 ns        96452
InversionCount/212            7287 ns         7287 ns       100209
InversionCount/213            7526 ns         7526 ns        91856
InversionCount/214            7396 ns         7396 ns        92458
InversionCount/215            7649 ns         7649 ns        92521
InversionCount/216            7671 ns         7671 ns        90155
InversionCount/217            7722 ns         7722 ns        92092
InversionCount/218            7611 ns         7611 ns        92749
InversionCount/219            7541 ns         7541 ns        93295
InversionCount/220            7778 ns         7778 ns        96223
InversionCount/221            7799 ns         7799 ns        90894
InversionCount/222            7705 ns         7705 ns        93125
InversionCount/223            7817 ns         7817 ns        90406
InversionCount/224            7808 ns         7808 ns        91455
InversionCount/225            6636 ns         6636 ns       105255
InversionCount/226            7694 ns         7694 ns        89809
InversionCount/227            6896 ns         6896 ns       101803
InversionCount/228            8061 ns         8061 ns        89910
InversionCount/229            8036 ns         8036 ns        87697
InversionCount/230            8248 ns         8248 ns        89633
InversionCount/231            8333 ns         8333 ns        88800
InversionCount/232            8361 ns         8361 ns        84931
InversionCount/233            8010 ns         8010 ns        88140
InversionCount/234            8089 ns         8089 ns        88808
InversionCount/235            7486 ns         7486 ns        97093
InversionCount/236            8383 ns         8383 ns        87205
InversionCount/237            8386 ns         8386 ns        81956
InversionCount/238            8498 ns         8498 ns        82667
InversionCount/239            8532 ns         8532 ns        80720
InversionCount/240            8528 ns         8528 ns        80498
InversionCount/241            8528 ns         8528 ns        84492
InversionCount/242            8295 ns         8295 ns        84087
InversionCount/243            8423 ns         8423 ns        85049
InversionCount/244            8507 ns         8507 ns        84037
InversionCount/245            7170 ns         7170 ns        97499
InversionCount/246            8529 ns         8529 ns        81859
InversionCount/247            8987 ns         8987 ns        78451
InversionCount/248            7899 ns         7899 ns        91970
InversionCount/249            8890 ns         8890 ns        77125
InversionCount/250            7320 ns         7320 ns        95201
InversionCount/251            8958 ns         8958 ns        76071
InversionCount/252            9081 ns         9081 ns        75009
InversionCount/253            9087 ns         9087 ns        78434
InversionCount/254            9037 ns         9037 ns        77364
InversionCount/255            8972 ns         8972 ns        80276
InversionCount/256            9209 ns         9209 ns        79300
InversionCount/257            9103 ns         9103 ns        74168
InversionCount/258            9047 ns         9047 ns        77807
InversionCount/259            9060 ns         9060 ns        78842
InversionCount/260            9339 ns         9339 ns        77845
InversionCount/261            9525 ns         9525 ns        72903
InversionCount/262            9489 ns         9489 ns        75028
InversionCount/263            9594 ns         9594 ns        74379
InversionCount/264            9546 ns         9546 ns        74000
InversionCount/265            9723 ns         9723 ns        75717
InversionCount/266            9694 ns         9694 ns        75428
InversionCount/267            9652 ns         9652 ns        71785
InversionCount/268            9773 ns         9773 ns        72389
InversionCount/269            9628 ns         9628 ns        73104
InversionCount/270            9814 ns         9814 ns        72098
InversionCount/271            8753 ns         8753 ns        76796
InversionCount/272            9719 ns         9719 ns        73185
InversionCount/273            9824 ns         9824 ns        70279
InversionCount/274            9919 ns         9919 ns        71234
InversionCount/275            9780 ns         9780 ns        72128
InversionCount/276            9922 ns         9922 ns        70237
InversionCount/277           11047 ns        11047 ns        71336
InversionCount/278           11632 ns        11632 ns        54492
InversionCount/279           10174 ns        10174 ns        68708
InversionCount/280           10151 ns        10151 ns        71585
InversionCount/281           10249 ns        10249 ns        66580
InversionCount/282           10233 ns        10233 ns        71094
InversionCount/283            8320 ns         8320 ns        83226
InversionCount/284           10324 ns        10324 ns        66631
InversionCount/285           10053 ns        10053 ns        68871
InversionCount/286           10435 ns        10435 ns        69320
InversionCount/287            9366 ns         9366 ns        75181
InversionCount/288           10594 ns        10594 ns        66316
InversionCount/289           10455 ns        10455 ns        68605
InversionCount/290           10427 ns        10427 ns        65920
InversionCount/291            9005 ns         9005 ns        79298
InversionCount/292           10345 ns        10345 ns        66841
InversionCount/293            9709 ns         9709 ns        73418
InversionCount/294           10397 ns        10397 ns        66168
InversionCount/295           10689 ns        10689 ns        66346
InversionCount/296           10620 ns        10621 ns        65752
InversionCount/297            9778 ns         9778 ns        72069
InversionCount/298           10799 ns        10799 ns        66789
InversionCount/299           10760 ns        10760 ns        65658
InversionCount/300            9890 ns         9890 ns        70842
InversionCount/301           10870 ns        10870 ns        64955
InversionCount/302           10924 ns        10924 ns        65766
InversionCount/303           11091 ns        11091 ns        63305
InversionCount/304           10766 ns        10766 ns        66554
InversionCount/305           10723 ns        10723 ns        64247
InversionCount/306           10179 ns        10179 ns        68719
InversionCount/307           11008 ns        11008 ns        64189
InversionCount/308           11065 ns        11065 ns        64363
InversionCount/309           11011 ns        11011 ns        64257
InversionCount/310           11165 ns        11165 ns        64981
InversionCount/311           10032 ns        10032 ns        68533
InversionCount/312           11098 ns        11098 ns        63988
InversionCount/313           10814 ns        10814 ns        62363
InversionCount/314           11072 ns        11072 ns        62305
InversionCount/315           11219 ns        11219 ns        60991
InversionCount/316           11179 ns        11179 ns        61552
InversionCount/317           11218 ns        11218 ns        61987
InversionCount/318           11332 ns        11332 ns        61563
InversionCount/319           11407 ns        11407 ns        63062
InversionCount/320           10425 ns        10425 ns        63027
InversionCount/321           11303 ns        11303 ns        62118
InversionCount/322           11426 ns        11426 ns        60171
InversionCount/323           10652 ns        10652 ns        67062
InversionCount/324           11500 ns        11500 ns        62592
InversionCount/325           11699 ns        11699 ns        59689
InversionCount/326           10150 ns        10150 ns        67410
InversionCount/327           11766 ns        11766 ns        60442
InversionCount/328           11689 ns        11689 ns        60107
InversionCount/329           11882 ns        11882 ns        59628
InversionCount/330           11807 ns        11807 ns        59907
InversionCount/331           10272 ns        10272 ns        67686
InversionCount/332           11657 ns        11657 ns        58240
InversionCount/333           11932 ns        11932 ns        58766
InversionCount/334           11023 ns        11023 ns        64514
InversionCount/335           11969 ns        11969 ns        58333
InversionCount/336           10489 ns        10489 ns        65943
InversionCount/337           10167 ns        10167 ns        68115
InversionCount/338           12139 ns        12139 ns        57815
InversionCount/339           12223 ns        12223 ns        56929
InversionCount/340           11093 ns        11093 ns        61388
InversionCount/341           12058 ns        12058 ns        56709
InversionCount/342           12248 ns        12248 ns        56470
InversionCount/343           12243 ns        12243 ns        57859
InversionCount/344           12256 ns        12256 ns        57736
InversionCount/345           11175 ns        11175 ns        60354
InversionCount/346           12403 ns        12403 ns        55054
InversionCount/347           10403 ns        10403 ns        67122
InversionCount/348           12434 ns        12434 ns        58295
InversionCount/349           11413 ns        11413 ns        61273
InversionCount/350           12568 ns        12568 ns        56444
InversionCount/351           10841 ns        10841 ns        64481
InversionCount/352           12570 ns        12570 ns        56936
InversionCount/353           12686 ns        12686 ns        54195
InversionCount/354           12664 ns        12664 ns        55868
InversionCount/355           12597 ns        12597 ns        54988
InversionCount/356           12676 ns        12676 ns        57114
InversionCount/357           12754 ns        12754 ns        56444
InversionCount/358           12761 ns        12761 ns        55976
InversionCount/359           12817 ns        12817 ns        55666
InversionCount/360           12873 ns        12873 ns        55395
InversionCount/361           13080 ns        13080 ns        54173
InversionCount/362           11973 ns        11973 ns        57153
InversionCount/363           13183 ns        13183 ns        53009
InversionCount/364           13086 ns        13086 ns        52657
InversionCount/365           13078 ns        13078 ns        54721
InversionCount/366           13242 ns        13242 ns        54867
InversionCount/367           11859 ns        11859 ns        57877
InversionCount/368           12864 ns        12864 ns        53360
InversionCount/369           13236 ns        13236 ns        52772
InversionCount/370           13219 ns        13219 ns        54090
InversionCount/371           13065 ns        13065 ns        53984
InversionCount/372           12271 ns        12271 ns        56882
InversionCount/373           13063 ns        13063 ns        54450
InversionCount/374           12983 ns        12983 ns        54222
InversionCount/375           12290 ns        12290 ns        55603
InversionCount/376           13204 ns        13204 ns        53184
InversionCount/377           11611 ns        11611 ns        60309
InversionCount/378           13383 ns        13384 ns        52998
InversionCount/379           12495 ns        12495 ns        58661
InversionCount/380           13333 ns        13333 ns        53542
InversionCount/381           11226 ns        11226 ns        61842
InversionCount/382           13453 ns        13453 ns        51067
InversionCount/383           12317 ns        12317 ns        55222
InversionCount/384           13440 ns        13440 ns        52170
InversionCount/385           13563 ns        13563 ns        51947
InversionCount/386           13607 ns        13607 ns        51013
InversionCount/387           13543 ns        13543 ns        51196
InversionCount/388           13556 ns        13556 ns        51767
InversionCount/389           12672 ns        12672 ns        55452
InversionCount/390           13406 ns        13406 ns        52267
InversionCount/391           13634 ns        13634 ns        50887
InversionCount/392           13825 ns        13825 ns        51713
InversionCount/393           13885 ns        13885 ns        51038
InversionCount/394           13515 ns        13515 ns        51761
InversionCount/395           13674 ns        13674 ns        51820
InversionCount/396           13840 ns        13841 ns        51269
InversionCount/397           13888 ns        13888 ns        49137
InversionCount/398           13859 ns        13859 ns        50062
InversionCount/399           13973 ns        13973 ns        50283
InversionCount/400           14048 ns        14048 ns        50727
InversionCount/401           14125 ns        14125 ns        49532
InversionCount/402           14295 ns        14295 ns        50451
InversionCount/403           14021 ns        14021 ns        49267
InversionCount/404           14181 ns        14181 ns        50399
InversionCount/405           14302 ns        14302 ns        50632
InversionCount/406           14247 ns        14247 ns        48686
InversionCount/407           14166 ns        14166 ns        50455
InversionCount/408           14496 ns        14496 ns        49412
InversionCount/409           14498 ns        14498 ns        49371
InversionCount/410           14397 ns        14397 ns        47947
InversionCount/411           14233 ns        14233 ns        48305
InversionCount/412           14277 ns        14277 ns        47965
InversionCount/413           14203 ns        14203 ns        48826
InversionCount/414           14476 ns        14476 ns        49203
InversionCount/415           14596 ns        14596 ns        49286
InversionCount/416           14304 ns        14304 ns        47814
InversionCount/417           14734 ns        14734 ns        46529
InversionCount/418           14449 ns        14449 ns        48629
InversionCount/419           14745 ns        14746 ns        48788
InversionCount/420           14931 ns        14931 ns        47570
InversionCount/421           14416 ns        14416 ns        47894
InversionCount/422           14903 ns        14903 ns        45679
InversionCount/423           14725 ns        14725 ns        48312
InversionCount/424           14904 ns        14904 ns        46473
InversionCount/425           15013 ns        15013 ns        46791
InversionCount/426           14675 ns        14675 ns        46332
InversionCount/427           15018 ns        15018 ns        46373
InversionCount/428           13283 ns        13283 ns        52429
InversionCount/429           14750 ns        14750 ns        46646
InversionCount/430           14977 ns        14977 ns        46376
InversionCount/431           15186 ns        15186 ns        46050
InversionCount/432           14819 ns        14819 ns        46688
InversionCount/433           14169 ns        14169 ns        50532
InversionCount/434           14951 ns        14951 ns        48566
InversionCount/435           15429 ns        15429 ns        45306
InversionCount/436           15003 ns        15003 ns        47008
InversionCount/437           14264 ns        14264 ns        48397
InversionCount/438           15331 ns        15331 ns        45693
InversionCount/439           15184 ns        15184 ns        45969
InversionCount/440           15189 ns        15189 ns        45531
InversionCount/441           15362 ns        15362 ns        45298
InversionCount/442           14394 ns        14394 ns        48227
InversionCount/443           14527 ns        14527 ns        49191
